Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (14.05.2025 15:05:01)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
*   Rejuvenation of ESP  WBS NL-N-TS2-002-04-03-58	          552239.98	          552239.68	               0.30	          552239.98	               0.00	          552239.68	          552239.68	               0.00	          552239.68	               0.00	               0.30	               0.00	               0.30	               0.30	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          552239.98	          552239.68	               0.30	          552239.98	               0.00
*   Refregirant H2 Gas D WBS NL-N-TS2-002-04-03-59	         2468559.99	         2468559.99	               0.00	         2468559.99	               0.00	         2057133.00	         2057133.00	               0.00	         2057133.00	               0.00	          411426.99	          411426.99	               0.00	          411426.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2468559.99	         2468559.99	               0.00	         2468559.99	               0.00
*   Vacuum Cleaner for H WBS NL-N-TS2-002-04-03-60	           18336.10	           18336.10	               0.00	           18336.10	               0.00	           18336.10	           18336.10	               0.00	           18336.10	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           18336.10	           18336.10	               0.00	           18336.10	               0.00
*   REFREGIRANT TYPE H2G WBS NL-N-TS2-002-04-03-61	         2095500.00	         2095500.00	               0.00	         2095500.00	               0.00	         2095500.00	         2095500.00	               0.00	         2095500.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2095500.00	         2095500.00	               0.00	         2095500.00	               0.00
*   refurishment of Roto WBS NL-N-TS2-002-04-03-62	       113312609.33	       110070559.30	         3242050.03	       113312609.33	               0.00	       110070559.30	       110070559.30	               0.00	       110070559.30	               0.00	         3242050.03	               0.00	         3242050.03	         3242050.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       113312609.33	       110070559.30	         3242050.03	       113312609.33	               0.00
*   Rectification of Uni WBS NL-N-TS2-002-04-03-63	        25075000.00	        25075000.00	               0.00	        25075000.00	               0.00	        25075000.00	        25075000.00	               0.00	        25075000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        25075000.00	        25075000.00	               0.00	        25075000.00	               0.00
*   digital Tachometer f WBS NL-N-TS2-002-04-03-64	           51174.01	           51174.01	               0.00	           51174.01	               0.00	           51174.01	           51174.01	               0.00	           51174.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           51174.01	           51174.01	               0.00	           51174.01	               0.00
*   Top panel mount cool WBS NL-N-TS2-002-04-03-65	         2200500.00	         2200500.00	               0.00	         2200500.00	               0.00	         2200500.00	         2200500.00	               0.00	         2200500.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2200500.00	         2200500.00	               0.00	         2200500.00	               0.00
*   11/0.433kv transform WBS NL-N-TS2-002-04-03-66	          584640.03	          501500.00	           83140.03	          584640.03	               0.00	          501500.00	          501500.00	               0.00	          501500.00	               0.00	           83140.03	               0.00	           83140.03	           83140.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          584640.03	          501500.00	           83140.03	          584640.03	               0.00
*   Seal oil pump for st WBS NL-N-TS2-002-04-03-67	         1337576.56	         1337576.56	               0.00	         1337576.56	               0.00	         1337576.56	         1337576.56	               0.00	         1337576.56	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1337576.56	         1337576.56	               0.00	         1337576.56	               0.00
*   tranformer movement  WBS NL-N-TS2-002-04-03-68	         3223763.56	         2379429.56	          844334.00	         3223763.56	               0.00	         2379429.56	         2379429.56	               0.00	         2379429.56	               0.00	          844334.00	               0.00	          844334.00	          844334.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3223763.56	         2379429.56	          844334.00	         3223763.56	               0.00
*   Arresting oil leaks  WBS NL-N-TS2-002-04-03-69	          323480.03	          231280.00	           92200.03	          323480.03	               0.00	          231280.00	          231280.00	               0.00	          231280.00	               0.00	           92200.03	               0.00	           92200.03	           92200.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          323480.03	          231280.00	           92200.03	          323480.03	               0.00
*   3X240 sqmm XLPE cabl WBS NL-N-TS2-002-04-03-70	         6101753.79	         6101753.79	               0.00	         6101753.79	               0.00	         6101753.79	         6101753.79	               0.00	         6101753.79	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6101753.79	         6101753.79	               0.00	         6101753.79	               0.00
*   Purchase of 420 KV O WBS NL-N-TS2-002-04-03-71	         5748960.00	               0.00	         5748960.00	         5748960.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5748960.00	               0.00	         5748960.00	         5748960.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5748960.00	               0.00	         5748960.00	         5748960.00	               0.00
*   Overhauling work of  WBS NL-N-TS2-002-04-03-72	         4029700.01	         3109300.00	          920400.01	         4029700.01	               0.00	         3109300.00	         3109300.00	               0.00	         3109300.00	               0.00	          920400.01	               0.00	          920400.01	          920400.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4029700.01	         3109300.00	          920400.01	         4029700.01	               0.00
*   DCS 800 converter FO WBS NL-N-TS2-002-04-03-73	         1911600.00	         1911600.00	               0.00	         1911600.00	               0.00	         1911600.00	         1911600.00	               0.00	         1911600.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1911600.00	         1911600.00	               0.00	         1911600.00	               0.00
*   Purchase of 2 T batt WBS NL-N-TS2-002-04-03-74	          505000.00	          505000.00	               0.00	          505000.00	               0.00	          505000.00	          505000.00	               0.00	          505000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          505000.00	          505000.00	               0.00	          505000.00	               0.00
*   Replacement of 2650  WBS NL-N-TS2-002-04-03-75	         1633545.02	         1563795.00	           69750.02	         1633545.02	               0.00	         1563795.00	         1563795.00	               0.00	         1563795.00	               0.00	           69750.02	               0.00	           69750.02	           69750.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1633545.02	         1563795.00	           69750.02	         1633545.02	               0.00
*   Transformer Oil IS33 WBS NL-N-TS2-002-04-03-76	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Stator water centrif WBS NL-N-TS2-002-04-03-77	          586090.00	               0.00	          586090.00	          586090.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          586090.00	               0.00	          586090.00	          586090.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          586090.00	               0.00	          586090.00	          586090.00	               0.00
*   ST-Repair & RC of 3. WBS NL-N-TS2-002-04-03-78	         6941940.03	         6941940.00	               0.03	         6941940.03	               0.00	         6941940.00	         6941940.00	               0.00	         6941940.00	               0.00	               0.03	               0.00	               0.03	               0.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6941940.03	         6941940.00	               0.03	         6941940.03	               0.00
*   Purchase of St-I Dig WBS NL-N-TS2-002-04-03-79	         1803653.60	         1803653.60	               0.00	         1803653.60	               0.00	         1803653.60	         1803653.60	               0.00	         1803653.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1803653.60	         1803653.60	               0.00	         1803653.60	               0.00
*   Seal rings Tubine&Ex WBS NL-N-TS2-002-04-03-80	         6194187.78	         6194187.78	               0.00	         6194187.78	               0.00	         6194187.78	         6194187.78	               0.00	         6194187.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6194187.78	         6194187.78	               0.00	         6194187.78	               0.00
*   Megger make Coulomet WBS NL-N-TS2-002-04-03-81	         1714950.50	         1714950.50	               0.00	         1714950.50	               0.00	         1714950.50	         1714950.50	               0.00	         1714950.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1714950.50	         1714950.50	               0.00	         1714950.50	               0.00
*   MURR make power supp WBS NL-N-TS2-002-04-03-83	          307941.06	          307941.06	               0.00	          307941.06	               0.00	          307941.06	          307941.06	               0.00	          307941.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          307941.06	          307941.06	               0.00	          307941.06	               0.00
*   Generator Stator Win WBS NL-N-TS2-002-04-03-84	        17006868.00	        17006868.00	               0.00	        17006868.00	               0.00	        17006868.00	        17006868.00	               0.00	        17006868.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        17006868.00	        17006868.00	               0.00	        17006868.00	               0.00
*   Rotor Fan blades for WBS NL-N-TS2-002-04-03-85	        29557734.47	        29557734.47	               0.00	        29557734.47	               0.00	        29557734.47	        29557734.47	               0.00	        29557734.47	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        29557734.47	        29557734.47	               0.00	        29557734.47	               0.00
*   Proc of Submersible  WBS NL-N-TS2-002-04-03-86	          204299.99	          204299.99	               0.00	          204299.99	               0.00	          204299.99	          204299.99	               0.00	          204299.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          204299.99	          204299.99	               0.00	          204299.99	               0.00
*   Purchase of Mill Mot WBS NL-N-TS2-002-04-03-87	        22978497.00	               0.00	        22978497.00	        22978497.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        22978497.00	               0.00	        22978497.00	        22978497.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        22978497.00	               0.00	        22978497.00	        22978497.00	               0.00
*   Retrofitting of Publ WBS NL-N-TS2-002-04-03-88	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Refurbishment of sea WBS NL-N-TS2-002-04-03-90	         1056000.01	               0.00	         1056000.01	         1056000.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1056000.01	               0.00	         1056000.01	         1056000.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1056000.01	               0.00	         1056000.01	         1056000.01	               0.00
*   SCISSOR LIFT         WBS NL-N-TS2-002-04-03-91	          910000.00	               0.00	          910000.00	          910000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          910000.00	               0.00	          910000.00	          910000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          910000.00	               0.00	          910000.00	          910000.00	               0.00
*   ST work repair and r WBS NL-N-TS2-002-04-03-92	         1108280.03	          687940.00	          420340.03	         1108280.03	               0.00	          791780.00	          687940.00	               0.00	          687940.00	          103840.00	          316500.03	               0.00	          420340.03	          420340.03	         -103840.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1108280.03	          687940.00	          420340.03	         1108280.03	               0.00
*   Electrolytic Cells i WBS NL-N-TS2-002-04-03-93	         3630510.04	         3590720.53	           39789.51	         3630510.04	               0.00	         3590720.53	         3590720.53	               0.00	         3590720.53	               0.00	           39789.51	               0.00	           39789.51	           39789.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3630510.04	         3590720.53	           39789.51	         3630510.04	               0.00
*   Hydraulic Torque wre WBS NL-N-TS2-002-04-03-94	         1534639.15	         1534639.15	               0.00	         1534639.15	               0.00	         1534639.15	         1534639.15	               0.00	         1534639.15	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1534639.15	         1534639.15	               0.00	         1534639.15	               0.00
*   10 KV Insulation Tes WBS NL-N-TS2-002-04-03-95	          802164.00	          802164.00	               0.00	          802164.00	               0.00	          802164.00	          802164.00	               0.00	          802164.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          802164.00	          802164.00	               0.00	          802164.00	               0.00
*   Retrofit & Upgrade t WBS NL-N-TS2-002-04-03-96	         2408843.82	         2360666.95	           48176.87	         2408843.82	               0.00	         2360666.95	         2360666.95	               0.00	         2360666.95	               0.00	           48176.87	               0.00	           48176.87	           48176.87	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2408843.82	         2360666.95	           48176.87	         2408843.82	               0.00
*   Hydogen gas Compress WBS NL-N-TS2-002-04-03-97	        18488300.74	        18488300.74	               0.00	        18488300.74	               0.00	        18488300.74	        18488300.74	               0.00	        18488300.74	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        18488300.74	        18488300.74	               0.00	        18488300.74	               0.00
*   Supply,insta and com WBS NL-N-TS2-002-04-03-98	         2477528.00	         2477528.00	               0.00	         2477528.00	               0.00	         2477528.00	         2477528.00	               0.00	         2477528.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2477528.00	         2477528.00	               0.00	         2477528.00	               0.00
*   1cX1000 Sq mm Al XLP WBS NL-N-TS2-002-04-03-99	         3026029.03	         3026029.03	               0.00	         3026029.03	               0.00	         3026029.03	         3026029.03	               0.00	         3026029.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3026029.03	         3026029.03	               0.00	         3026029.03	               0.00
**  ELECTRICAL MAINTENAN WBS NL-N-TS2-002-04-04	        70428613.15	        36621646.09	        33806967.06	        70428613.15	               0.00	        36621646.09	        36621646.09	               0.00	        36621646.09	               0.00	        33806967.06	               0.00	        27147957.05	        27147957.05	         6659010.01	               0.00	               0.00	         6659010.01	         6659010.01	        -6659010.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        71020976.26	        36621646.09	        33806967.06	        70428613.15	          592363.11
*    Retrofitting of Sta WBS NL-N-TS2-002-04-04-01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Purchase of Switchge WBS NL-N-TS2-002-04-04-09	         5707638.41	         5707638.41	               0.00	         5707638.41	               0.00	         5707638.41	         5707638.41	               0.00	         5707638.41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5707638.41	         5707638.41	               0.00	         5707638.41	               0.00
*   Retrofit  of Switchg WBS NL-N-TS2-002-04-04-10	         2259373.83	         2239533.80	           19840.03	         2259373.83	               0.00	         2239533.80	         2239533.80	               0.00	         2239533.80	               0.00	           19840.03	               0.00	           19840.03	           19840.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2259373.83	         2239533.80	           19840.03	         2259373.83	               0.00
*   PMCC panel for Stage WBS NL-N-TS2-002-04-04-11	        12824240.00	               0.00	        12824240.00	        12824240.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        12824240.00	               0.00	        12824240.00	        12824240.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        12824240.00	               0.00	        12824240.00	        12824240.00	               0.00
*   Supply & Retrofit of WBS NL-N-TS2-002-04-04-12	        23782132.57	        17123122.56	         6659010.01	        23782132.57	               0.00	        17123122.56	        17123122.56	               0.00	        17123122.56	               0.00	         6659010.01	               0.00	               0.00	               0.00	         6659010.01	               0.00	               0.00	         6659010.01	         6659010.01	        -6659010.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        23782132.57	        17123122.56	         6659010.01	        23782132.57	               0.00
*   Supply of spares&Rep WBS NL-N-TS2-002-04-04-13	         1873579.53	         1873456.50	             123.03	         1873579.53	               0.00	         1873456.50	         1873456.50	               0.00	         1873456.50	               0.00	             123.03	               0.00	             123.03	             123.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1873579.53	         1873456.50	             123.03	         1873579.53	               0.00
*   Refurbish of Festoon WBS NL-N-TS2-002-04-04-14	         1430560.05	         1429791.84	             768.21	         1430560.05	               0.00	         1429791.84	         1429791.84	               0.00	         1429791.84	               0.00	             768.21	               0.00	             768.21	             768.21	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1430560.05	         1429791.84	             768.21	         1430560.05	               0.00
*   2 ton  Battery power WBS NL-N-TS2-002-04-04-26	          514985.00	          514985.00	               0.00	          514985.00	               0.00	          514985.00	          514985.00	               0.00	          514985.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          514985.00	          514985.00	               0.00	          514985.00	               0.00
*   2 Ton Battery powere WBS NL-N-TS2-002-04-04-27	          516669.62	          516669.62	               0.00	          516669.62	               0.00	          516669.62	          516669.62	               0.00	          516669.62	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          516669.62	          516669.62	               0.00	          516669.62	               0.00
*   Refurbish of 3.5cX30 WBS NL-N-TS2-002-04-04-28	          526018.88	          526018.88	               0.00	          526018.88	               0.00	          526018.88	          526018.88	               0.00	          526018.88	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          526018.88	          526018.88	               0.00	          526018.88	               0.00
*   Procurement of Dewat WBS NL-N-TS2-002-04-04-29	          136731.95	          136731.95	               0.00	          136731.95	               0.00	          136731.95	          136731.95	               0.00	          136731.95	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          136731.95	          136731.95	               0.00	          136731.95	               0.00
*   Procurement of MCM M WBS NL-N-TS2-002-04-04-30	          190000.06	          190000.06	               0.00	          190000.06	               0.00	          190000.06	          190000.06	               0.00	          190000.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          190000.06	          190000.06	               0.00	          190000.06	               0.00
*   Rotork make actuator WBS NL-N-TS2-002-04-04-31	         1635297.63	         1635297.63	               0.00	         1635297.63	               0.00	         1635297.63	         1635297.63	               0.00	         1635297.63	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1635297.63	         1635297.63	               0.00	         1635297.63	               0.00
*   Procurement of Stage WBS NL-N-TS2-002-04-04-32	         1905927.40	         1905927.40	               0.00	         1905927.40	               0.00	         1905927.40	         1905927.40	               0.00	         1905927.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1905927.40	         1905927.40	               0.00	         1905927.40	               0.00
*   Procurement of motor WBS NL-N-TS2-002-04-04-33	         2087897.66	         1408934.21	          678963.45	         2087897.66	               0.00	         1408934.21	         1408934.21	               0.00	         1408934.21	               0.00	          678963.45	               0.00	          678963.45	          678963.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2278347.54	         1408934.21	          678963.45	         2087897.66	          190449.88
*   1100 V greade 3Cx2.5 WBS NL-N-TS2-002-04-04-34	         1878086.77	               0.00	         1878086.77	         1878086.77	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1878086.77	               0.00	         1878086.77	         1878086.77	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2280000.00	               0.00	         1878086.77	         1878086.77	          401913.23
*   Purchase of 12"/15"/ WBS NL-N-TS2-002-04-04-35	         1317735.69	          281100.21	         1036635.48	         1317735.69	               0.00	          281100.21	          281100.21	               0.00	          281100.21	               0.00	         1036635.48	               0.00	         1036635.48	         1036635.48	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1317735.69	          281100.21	         1036635.48	         1317735.69	               0.00
*   1100V grade,3.5C*35  WBS NL-N-TS2-002-04-04-36	          741735.00	          741735.00	               0.00	          741735.00	               0.00	          741735.00	          741735.00	               0.00	          741735.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          741735.00	          741735.00	               0.00	          741735.00	               0.00
*   1100V grade , 3.5 C  WBS NL-N-TS2-002-04-04-39	         2264000.00	               0.00	         2264000.00	         2264000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2264000.00	               0.00	         2264000.00	         2264000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2264000.00	               0.00	         2264000.00	         2264000.00	               0.00
