Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (24.09.2025 15:12:00)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
6*  TPS-II Non Plan CAPE PRJ NL-N-TS2-001	        32068981.69	        16676090.04	        12782908.03	        29458998.07	         2609983.62	        15106908.25	        15106908.26	               0.00	        15106908.26	              -0.01	        16962073.44	         1569181.78	        12782908.03	        14352089.81	         2609983.63	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        32068981.69	        16676090.04	        12782908.03	        29458998.07	         2609983.62
6*  TPS-II LEP Stage I & PRJ NL-N-TS2-002	      8252832435.73	      3104362210.57	      4285444042.12	      7389816973.68	       863015462.05	      2820744260.07	      2811734033.52	         7268891.25	      2819013645.76	         1730614.31	      5432088175.66	       292628177.05	      3132087831.12	      3424716008.17	      2007372167.49	               0.00	               0.00	      1146087319.75	      1146087319.75	     -1146087319.75	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      8252936622.64	      3104362210.57	      4285444042.12	      7389816973.68	       863119648.96
6*  Vigilance Non-Plan C PRJ NL-N-VIG-001	         9569117.95	         7388063.85	           26655.84	         7414719.69	         2154398.26	         9569117.95	         7388063.85	           26655.84	         7414719.69	         2154398.26	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9569117.95	         7388063.85	           26655.84	         7414719.69	         2154398.26
6*  TS2 Unit 3 Annual Mt PRJ NL-O-TS2-001	               0.00	               0.00	               0.00	         1022012.50	        -1022012.50	               0.00	               0.00	               0.00	         1022012.50	        -1022012.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1022012.50	        -1022012.50
6*  NLC CSR Projects 201 PRJ NL-S-CSR-001	      1009817000.00	       746959873.22	               0.00	       746959873.22	       262857126.78	      1009817000.00	       746959873.22	               0.00	       746959873.22	       262857126.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1009817000.00	       746959873.22	               0.00	       746959873.22	       262857126.78
6*  CSR Master Project 2 PRJ NL-S-CSR-003	       250000000.00	         4403986.96	          204157.51	         4608144.47	       245391855.53	       250000000.00	         4403986.96	          204157.51	         4608144.47	       245391855.53	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       250000000.00	         4403986.96	          204157.51	         4608144.47	       245391855.53
6*  CSR Administrative O PRJ NL-S-CSR-005	        20765115.43	        20400124.16	          365115.43	        20765239.59	            -124.16	        20765115.43	        20400124.16	          365115.43	        20765239.59	            -124.16	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        20765115.43	        20400124.16	          365115.43	        20765239.59	            -124.16
6*  CSR Activity 1.2 (15 PRJ NL-S-CSR-006	         1000000.00	               0.00	               0.00	               0.00	         1000000.00	         1000000.00	               0.00	               0.00	               0.00	         1000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2000000.00	               0.00	               0.00	               0.00	         2000000.00
6*  CSR PBD Proc thro GE PRJ NL-S-CSR-007	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  O2 Plants in Tamilna PRJ NL-S-CSR-008	        31000000.00	        27980750.53	         2082089.96	        30062840.49	          937159.51	        31000000.00	        27980750.53	         2082089.96	        30062840.49	          937159.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        31000000.00	        27980750.53	         2082089.96	        30062840.49	          937159.51
6*  O2 Plants in Karnata PRJ NL-S-CSR-009	        47320000.00	        44806785.32	         1577826.81	        46384612.13	          935387.87	        47320000.00	        44806785.32	         1577826.81	        46384612.13	          935387.87	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        47320000.00	        44806785.32	         1577826.81	        46384612.13	          935387.87
6*  O2 Plants in Rajasth PRJ NL-S-CSR-010	        42020000.00	        38576717.95	         1885287.17	        40462005.12	         1557994.88	        42020000.00	        38576717.95	         1885287.17	        40462005.12	         1557994.88	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        42020000.00	        38576717.95	         1885287.17	        40462005.12	         1557994.88
6*  O2 Plants in Odisha  PRJ NL-S-CSR-011	         7120000.00	         2256610.19	         3509135.59	         5765745.78	         1354254.22	         7120000.00	         2256610.19	         3509135.59	         5765745.78	         1354254.22	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7120000.00	         2256610.19	         3509135.59	         5765745.78	         1354254.22
6*  O2 Concentrators in  PRJ NL-S-CSR-012	        28000000.00	        21802057.16	               0.00	        21802057.16	         6197942.84	        28000000.00	        21802057.16	               0.00	        21802057.16	         6197942.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        28000000.00	        21802057.16	               0.00	        21802057.16	         6197942.84
6*  O2 Concentrators in  PRJ NL-S-CSR-013	        14000000.00	        10812883.00	               0.00	        10812883.00	         3187117.00	        14000000.00	        10812883.00	               0.00	        10812883.00	         3187117.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14000000.00	        10812883.00	               0.00	        10812883.00	         3187117.00
6*  O2 Concentrators in  PRJ NL-S-CSR-014	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  O2 Cylinders & Conce PRJ NL-S-CSR-015	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  ICU Beds,Ventillator PRJ NL-S-CSR-016	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  Hired BLS Ambulance  PRJ NL-S-CSR-017	         5904000.00	         5833542.49	               0.00	         5833542.49	           70457.51	         5904000.00	         5833542.49	               0.00	         5833542.49	           70457.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5904000.00	         5833542.49	               0.00	         5833542.49	           70457.51
6*  Mask,Sanitizer,Soap  PRJ NL-S-CSR-018	          220000.00	          220000.00	               0.00	          220000.00	               0.00	          220000.00	          220000.00	               0.00	          220000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          220000.00	          220000.00	               0.00	          220000.00	               0.00
6*  Sanitizer,Soap Soln  PRJ NL-S-CSR-019	          797000.00	          769640.52	               0.00	          769640.52	           27359.48	          797000.00	          769640.52	               0.00	          769640.52	           27359.48	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          797000.00	          769640.52	               0.00	          769640.52	           27359.48
6*  CC Eqpmt Andaman Nic PRJ NL-S-CSR-020	          110000.00	          109727.77	               0.00	          109727.77	             272.23	          110000.00	          109727.77	               0.00	          109727.77	             272.23	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          110000.00	          109727.77	               0.00	          109727.77	             272.23
6*  SERI PPE kits to Cud PRJ NL-S-CSR-021	         3220000.00	         3219980.00	               0.00	         3219980.00	              20.00	         3220000.00	         3219980.00	               0.00	         3219980.00	              20.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3220000.00	         3219980.00	               0.00	         3219980.00	              20.00
6*  Santhigiri Ashram- C PRJ NL-S-CSR-022	         1000000.00	         1000000.00	               0.00	         1000000.00	               0.00	         1000000.00	         1000000.00	               0.00	         1000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1000000.00	         1000000.00	               0.00	         1000000.00	               0.00
6*  PPE Kits to GH - Kat PRJ NL-S-CSR-023	         6000000.00	         1385203.49	         1893527.00	         3278730.49	         2721269.51	         6000000.00	         1385203.49	         1893527.00	         3278730.49	         2721269.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6000000.00	         1385203.49	         1893527.00	         3278730.49	         2721269.51
6*  COVID 19 Measures FD PRJ NL-S-CSR-024	        20000000.00	        11121516.62	               0.00	        11121516.62	         8878483.38	        20000000.00	        11121516.62	               0.00	        11121516.62	         8878483.38	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        20000000.00	        11121516.62	               0.00	        11121516.62	         8878483.38
6*  Covid Care Hospital  PRJ NL-S-CSR-025	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  HLL Biotech Ltd      PRJ NL-S-CSR-026	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  Medical Camps        PRJ NL-S-CSR-027	         2500000.00	         2425160.28	               0.00	         2425160.28	           74839.72	         2500000.00	         2425160.28	               0.00	         2425160.28	           74839.72	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2500000.00	         2425160.28	               0.00	         2425160.28	           74839.72
6*  Swachhta Packwada ac PRJ NL-S-CSR-028	         1000000.00	          942278.86	               0.00	          942278.86	           57721.14	         1000000.00	          942278.86	               0.00	          942278.86	           57721.14	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1000000.00	          942278.86	               0.00	          942278.86	           57721.14
6*  Nutritional Support  PRJ NL-S-CSR-029	         4000000.00	         2519727.84	         1173152.66	         3692880.50	          307119.50	         4000000.00	         2519727.84	         1173152.66	         3692880.50	          307119.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4000000.00	         2519727.84	         1173152.66	         3692880.50	          307119.50
6*  Posak - HIV+ve Socie PRJ NL-S-CSR-030	         1750000.00	         1389845.60	               0.00	         1389845.60	          360154.40	         1750000.00	         1389845.60	               0.00	         1389845.60	          360154.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1750000.00	         1389845.60	               0.00	         1389845.60	          360154.40
6*  Food Supliments to O PRJ NL-S-CSR-031	         1200000.00	          832583.92	               0.00	          832583.92	          367416.08	         1200000.00	          832583.92	               0.00	          832583.92	          367416.08	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1200000.00	          832583.92	               0.00	          832583.92	          367416.08
6*  Food Supp. Annai Ter PRJ NL-S-CSR-032	          350000.00	          162903.10	               0.00	          162903.10	          187096.90	          350000.00	          162903.10	               0.00	          162903.10	          187096.90	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          350000.00	          162903.10	               0.00	          162903.10	          187096.90
6*  Trauma Care Centre a PRJ NL-S-CSR-033	        15000000.00	         1404091.16	        11950961.60	        13355052.76	         1644947.24	        15000000.00	         1404091.16	        11950961.60	        13355052.76	         1644947.24	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        15000000.00	         1404091.16	        11950961.60	        13355052.76	         1644947.24
6*  TB Sanitorium at Cap PRJ NL-S-CSR-034	        12000000.00	               0.00	               0.00	               0.00	        12000000.00	        12000000.00	               0.00	               0.00	               0.00	        12000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        12000000.00	               0.00	               0.00	               0.00	        12000000.00
6*  Beti Bachao Scheme,  PRJ NL-S-CSR-035	          200000.00	          199953.12	               0.00	          199953.12	              46.88	          200000.00	          199953.12	               0.00	          199953.12	              46.88	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          200000.00	          199953.12	               0.00	          199953.12	              46.88
6*  Medical Camps at Bar PRJ NL-S-CSR-036	          300000.00	          291100.00	               0.00	          291100.00	            8900.00	          300000.00	          291100.00	               0.00	          291100.00	            8900.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          300000.00	          291100.00	               0.00	          291100.00	            8900.00
6*  Medical Services on  PRJ NL-S-CSR-037	        23800000.00	        13093566.43	               0.00	        13093566.43	        10706433.57	        23800000.00	        13093566.43	               0.00	        13093566.43	        10706433.57	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        23800000.00	        13093566.43	               0.00	        13093566.43	        10706433.57
6*  2Nos of RCC OHT at K PRJ NL-S-CSR-038	         2000000.00	          455621.64	         1287847.38	         1743469.02	          256530.98	         2000000.00	          455621.64	         1287847.38	         1743469.02	          256530.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2000000.00	          455621.64	         1287847.38	         1743469.02	          256530.98
6*  Railway toilets by R PRJ NL-S-CSR-039	       118981000.00	        43624950.00	        75356050.00	       118981000.00	               0.00	       118981000.00	        43624950.00	        75356050.00	       118981000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       118981000.00	        43624950.00	        75356050.00	       118981000.00	               0.00
6*  Hygiene and Healthca PRJ NL-S-CSR-040	         8150000.00	         7074958.25	          547910.74	         7622868.99	          527131.01	         8150000.00	         7074958.25	          547910.74	         7622868.99	          527131.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8150000.00	         7074958.25	          547910.74	         7622868.99	          527131.01
6*  Education Support Se PRJ NL-S-CSR-041	         6430000.00	         2433647.90	           97468.00	         2531115.90	         3898884.10	         6430000.00	         2433647.90	           97468.00	         2531115.90	         3898884.10	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6430000.00	         2433647.90	           97468.00	         2531115.90	         3898884.10
6*  Beti Padhao Scheme B PRJ NL-S-CSR-042	          200000.00	          199912.27	               0.00	          199912.27	              87.73	          200000.00	          199912.27	               0.00	          199912.27	              87.73	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          200000.00	          199912.27	               0.00	          199912.27	              87.73
6*  Scholarship for Girl PRJ NL-S-CSR-043	         1400000.00	          724166.00	               0.00	          724166.00	          675834.00	         1400000.00	          724166.00	               0.00	          724166.00	          675834.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1400000.00	          724166.00	               0.00	          724166.00	          675834.00
6*  Tution Fees for SC,  PRJ NL-S-CSR-044	        47000000.00	        45899030.00	               0.00	        45899030.00	         1100970.00	        47000000.00	        45899030.00	               0.00	        45899030.00	         1100970.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        47000000.00	        45899030.00	               0.00	        45899030.00	         1100970.00
6*  Educational Assistan PRJ NL-S-CSR-045	         4846000.00	         4454000.00	               0.00	         4454000.00	          392000.00	         4846000.00	         4454000.00	               0.00	         4454000.00	          392000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4846000.00	         4454000.00	               0.00	         4454000.00	          392000.00
6*  Educational promotio PRJ NL-S-CSR-046	         3400000.00	          468393.00	               0.00	          468393.00	         2931607.00	         3400000.00	          468393.00	               0.00	          468393.00	         2931607.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3400000.00	          468393.00	               0.00	          468393.00	         2931607.00
6*  Educational Assistan PRJ NL-S-CSR-047	        18614000.00	        14885566.00	               0.00	        14885566.00	         3728434.00	        18614000.00	        14885566.00	               0.00	        14885566.00	         3728434.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        18614000.00	        14885566.00	               0.00	        14885566.00	         3728434.00
6*  Financial Assistance PRJ NL-S-CSR-048	        50000000.00	        50000000.00	               0.00	        50000000.00	               0.00	        50000000.00	        50000000.00	               0.00	        50000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        50000000.00	        50000000.00	               0.00	        50000000.00	               0.00
6*  Fin. Asst. Sarada Ni PRJ NL-S-CSR-049	        18500000.00	         9250000.00	         9250000.00	        18500000.00	               0.00	        18500000.00	         9250000.00	         9250000.00	        18500000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        18500000.00	         9250000.00	         9250000.00	        18500000.00	               0.00
6*  Skill Development fo PRJ NL-S-CSR-050	        10500000.00	          382663.61	           18902.12	          401565.73	        10098434.27	        10500000.00	          382663.61	           18902.12	          401565.73	        10098434.27	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10500000.00	          382663.61	           18902.12	          401565.73	        10098434.27
6*  Fin. Asst. Gram Vika PRJ NL-S-CSR-051	        20903000.00	         7969150.00	        11953725.00	        19922875.00	          980125.00	        20903000.00	         7969150.00	        11953725.00	        19922875.00	          980125.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        20903000.00	         7969150.00	        11953725.00	        19922875.00	          980125.00
6*  Camel festival in Bi PRJ NL-S-CSR-052	          100000.00	               0.00	               0.00	               0.00	          100000.00	          100000.00	               0.00	               0.00	               0.00	          100000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          100000.00	               0.00	               0.00	               0.00	          100000.00
6*  Conducting of sports PRJ NL-S-CSR-053	         6000000.00	         1067841.42	           51230.00	         1119071.42	         4880928.58	         6000000.00	         1067841.42	           51230.00	         1119071.42	         4880928.58	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6000000.00	         1067841.42	           51230.00	         1119071.42	         4880928.58
6*  Fin. Asst. to Olympi PRJ NL-S-CSR-054	         1500000.00	         1500000.00	               0.00	         1500000.00	               0.00	         1500000.00	         1500000.00	               0.00	         1500000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1500000.00	         1500000.00	               0.00	         1500000.00	               0.00
6*  Amenities Developmen PRJ NL-S-CSR-055	        28734884.57	               0.00	               0.00	               0.00	        28734884.57	        28734884.57	               0.00	               0.00	               0.00	        28734884.57	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        28734884.57	               0.00	               0.00	               0.00	        28734884.57
6*  Janapravesh by NLC B PRJ NL-S-CSR-056	         7200000.00	         6889940.64	               0.00	         6889940.64	          310059.36	         7200000.00	         6889940.64	               0.00	         6889940.64	          310059.36	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7200000.00	         6889940.64	               0.00	         6889940.64	          310059.36
6*  Baseline survey Eval PRJ NL-S-CSR-057	         6000000.00	               0.00	               0.00	               0.00	         6000000.00	         6000000.00	               0.00	               0.00	               0.00	         6000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6000000.00	               0.00	               0.00	               0.00	         6000000.00
6*  Administrative Overh PRJ NL-S-CSR-058	        20825000.00	        19825000.00	          634321.96	        20459321.96	          365678.04	        20825000.00	        19825000.00	          634321.96	        20459321.96	          365678.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        20825000.00	        19825000.00	          634321.96	        20459321.96	          365678.04
6*  High School Transfor PRJ NL-S-CSR-059	        88500000.00	        88500000.00	               0.00	        88500000.00	               0.00	        88500000.00	        88500000.00	               0.00	        88500000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        88500000.00	        88500000.00	               0.00	        88500000.00	               0.00
